id,resourceType,title,description,startDate,endDate,lat,lon,documentType,author,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Ind Premises destroyed,Com Premises damaged,Com Premises destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Farm(s) damaged,Farm(s) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions,subjects,url,resourceUrl
15,Disaster Event,Transport - Burnley Tunnel Fire,"On 23 March 2007 an accident occurred in the Burnley Tunnel Melbourne which links commuters between the city and eastern suburbs. A truck stopped in the left lane due to a blown tyre. This notified City Link monitoring control centre who activated a closed lane signal and reduced the tunnel speed limit. The accident occurred when a truck ran into cars trying to drive around the stationary truck, setting off further collisions. One of the trucks burst into flames on impact causing a large fire and explosions.  Three people were killed and two injured. Evacuation of hundreds of commuters was necessary and the tunnel remained closed for several days.",3/23/2007 0:00,3/23/2007 0:00,-37.82619095,144.9970398,,,247,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=15,
16,Disaster Event,Transport - Kerang Train and Truck Collision,"On 5 June 2007 the V/Line passenger train 8042 was struck by a loaded semi - trailer at a level crossing on the Murray Valley Highway approximately six km north-west of Kerang. The train was en route from Swan Hill to Melbourne and the semi-trailer was on a regular freight run from Wangaratta Victoria to Adelaide South Australia. When the incident occurred the level crossings flashing lights and warning bells were operating.  The semi-trailer collided with the second passenger car of the three passenger car train. A large section of the body-side was torn away by the truck trailer and several seats on the right side of the car were torn from their mountings. The truck trailer then struck the front right corner of the third car breaching the occupied area. The draft yoke connecting the second and third cars fractured and the third car derailed both cars. Eleven train passengers died and a further 14 and the truck driver were injured.  The incident was reported by the train driver and others at the scene and the emergency service unit arrived on site at 1350 hours.  The Murray Valley Highway was opened to normal road traffic on 8 June 2007 and the rail line was re-opened on 12 June 2007.  A coroner&rsquo;s inquest in 2013 resulted in 25 recommendations, including changes to level crossing warnings and emergency response procedures.   &nbsp;",6/5/2007 0:00,6/5/2007 0:00,-35.76305389,143.9385834,,,,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=16,
17,Disaster Event,Severe Storm -  New South Wales East Coast Low,"In June 2007 there were five east coast lows off the coast of New South Wales. The first and most severe occurred over 8-9 June. Heavy rain, strong winds and large ocean swells resulted in widespread damage to coastal regions of the Hunter, Central Coast and Sydney Metropolitan areas. The Queen's birthday weekend east coast lows developed in a pre-existing trough of low pressure over the northern Tasman Sea. This trough was directing a humid north-east to south-east air stream across north-east New South Wales and there was a weak low analysed just off the coast near Coffs Harbour on 8 June. The low moved south along the New South Wales coast, before moving out into the Tasman Sea on 10 June 2007.  Thunderstorms caused record breaking flooding in Newcastle, with 164.6 mm of rain falling in 6 hours from 3 pm to 9 pm, causing many shops and businesses to flood and hundreds of cars to be stranded or swept away. This storm event is often associated with the grounding of the Pasha Bulker (a 40,000 tonne bulk carrier ship) which occurred on 8 June on Nobbys Beach in Newcastle and was not re-floated until 2 July. Approximately 6000 people were evacuated from Maitland (near Newcastle) when it was considered that a levee may have burst.  In the Hunter Valley it was reported as the worst flooding in 52 years. Major flooding in the Hunter River occurred from 8 to 13 June and in the Paterson and Williams River from the 8 to 9 June. Moderate flooding occurred in the Wyong, Colo and Nepean Rivers.  Ferry services were cancelled on Sydney Harbour due to the weather conditions. The Cremorne wharf collapsed and sank due to large ocean swells. Beaches were eroded at many Sydney locations, due to swells up to 14 metres high. High winds blew beach sand over 100 metres inland. Over 200,000 homes reportedly lost power in the Sydney - Newcastle area due to flooding and high winds. Many thousands of homes and businesses lost telephone services when telephone exchanges were flooded.  A natural disaster was declared in the Hunter Valley and the Central Coast areas. There were a total of nine fatalities associated with the storm. Nearly 20,000 calls for assistance were made to the State Emergency Service.  The Insurance Council of Australia estimated the 2007 damage at $1480 million, with the 2011 estimated normalised cost of $1742 million.",6/8/2007 0:00,6/10/2007 0:00,-32.92599487,151.7788696,,,6000,,,9,1480000000,,,,,,,,,,,,,,,,,1,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=17,
18,Disaster Event,Flood - Gippsland June 2007,"In late June 2007, the Gippsland area received record rainfall associated with an intense low pressure system. The substantial rain event followed the Great Divide Bushfires, when 1.2 million hectares of public and private land were burnt and large areas of soil were left exposed.   The storm in June 2007 resulted in major flooding and widespread damage. Seven rivers burst their banks causing millions of dollars of damage to homes, businesses and farms, as well as a significant loss of public and private assets. The rapidly rising floodwaters forced dozens of rescues and evacuations. One person died as a result of the flood waters. During 48 hours of torrential rain more than 1000 emergency service staff worked to save homes and shops in towns throughout Gippsland. Relief centres were set up at Bairnsdale, Lakes Entrance, Paynesville, Sale, Lucknow and Loch Sport and housed up to 360 evacuees. Volunteers also provided medical aid and catering with other organisations such as the Lions Club.  The State Government established a Flood Recovery Ministerial Taskforce, which assessed community need and planned the recovery program. The Taskforce announced a $60 million Flood Recovery Initiative covering among other things the cost of work on some 400 roads, bridges and 80 walking tracks spanning hundreds of km and clearing debris from the regions&rsquo; water supplies, catchments and recreation areas.  The Insurance Council of Australia estimated the 2007 damage at $15 million, with the 2011 estimated normalised cost of $18 million.",6/27/2007 0:00,7/2/2007 0:00,-38.2273941,146.7471313,,,,,,1,15000000,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=18,
19,Disaster Event,Industrial - Mt Kembla Gas Explosion,"An explosion at 2pm on 31 July 1902, at Mt. Kembla colliery killed 94 people. The rescue coordinator and the nightshift manager also lost their lives during rescue efforts due to the effect of overpowering fumes.  The cause of the explosion was found to be the ignition of firedamp or methane gas supplying a miner's light. The explosion generated a coal dust explosion that destroyed a large portion of the mine.  There was a Royal Commission conducted into the origin of the explosion which determined that it was caused by the ignition of gas in the mine by the naked flames used as torches by the miners.",7/31/1902 0:00,7/31/1902 0:00,-34.43048859,150.818161,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=19,
20,Disaster Event,Shipwreck - Broome and Region,"On 22 April 1887, a cyclone struck between Port Hedland and Broome, north-western Western Australia, destroying approximately four pearling schooners and 18 luggers. The exact numbers of people killed at sea is unknown, however it is thought that near 140 died.",22/04/1887 00:00:00,22/04/1887 00:00:00,-18.8387146,120.0476074,,,,,,140,,,,,,,,,,,,,,,,,,22,,,,,,,,Western Australia,,http://www.emknowledge.gov.au/resource/?id=20,
21,Disaster Event,Urban Fire - Hobart Department Store,"On 22 September 2007 a historical department store in Hobart was destroyed by fire. The fire started in the Liverpool Street store between the first and second floors. The building consisted of four trading floors and was one of the largest department stores in Hobart. The building was successfully evacuated and there were no deaths or significant injuries. When the fire was at its worst, approximately 90 firefighters from Hobart and surrounding areas, more than 60 police and a number of ambulance crews were in attendance.  The roof of the Liverpool Street store collapsed and the structural damage was such that the remaining four walls had to be demolished to avoid damage to neighbouring buildings. Significant damage occurred to the contents of surrounding stores.  The Tasmanian Fire Service assessed the damage to&nbsp;the store&nbsp;and the surrounding businesses to cost in the vicinity of $50 million.",9/22/2007 0:00,9/22/2007 0:00,-42.88118362,147.3239594,,,,,,,50000000,,,,,,1,,,,,,,,,,,,,,,,,,,Tasmania,,http://www.emknowledge.gov.au/resource/?id=21,
22,Disaster Event,Bushfire - Great Divide Complex,"Victoria experienced a very adverse fire season during 2006 - 2007. Lightning ignited a number of fires on 1 December 2006 and some later merged to form what is known as the 'Great Divide Complex' fires in eastern Victoria. The area burnt mostly public land and was estimated to be in the vicinity of 1.2 and 1.3 million hectares by the end of the season. On 7 February 2007, The Great Divide fires were finally contained after 69 days. There were also a number of other fires (Tawonga Gap burned 33,500 hectares and Tatong burned 33,000). Despite the severity of the fire season, housing and private asset losses were remarkably low. In total, 51 dwellings of which 21 were classified as primary residences were destroyed and hundreds of stock and farm fencing were lost in the fires. One man died in a vehicle accident while assisting a property owner to prepare for fire impact.  Thousands of community volunteers and career emergency service personnel across state, regional and community levels worked in partnership to ensure the fires were eventually brought under control. A further component to the response was the support and assistance from New Zealand, United States, Canadian and interstate colleagues.  By 7 February, more than 1400 firefighters had been injured in the fire fighting effort (including bruises, cuts, blisters, burns, dehydration, broken limbs and spider bites). More than 400 St John Ambulance volunteers, including doctors, nurses and first aid officers provided medical assistance. On 16 December, 11 New Zealand firefighters were injured while fighting the fire in the Howqua Valley in north-east Victoria.  On 16 January 2007 power lines were cut which severely disrupted Melbourne electricity supplies. On the same day, a fire threatened to close Tullamarine Airport. The Department of Sustainability and Environment (DSE) worked with Melbourne Water to keep the fires out of the water catchments.  A significant number of people were evacuated during the fires. Relief centres were established to accommodate evacuees. Some mountain tourist complexes were evacuated due to fires including Mount Buller and Thredbo Village in New South Wales, the latter due to a fire that started from a lightning strike at Hermit Mountain and crossed the border.  Victoria experienced widespread effects from the fires. Numerous schools in the high country and some parts of Gippsland were forced to close due to the fire threat and outside play at school was banned in some instances due to smoke haze. The smoke haze reportedly caused some respiratory symptoms and aggravated conditions such as asthma. Haze also ffected traffic and delayed flights in and out of Melbourne airport. On 20 December, the Environment Protection Authority recorded its worst bushfire smoke since records began, with visibility reduced to two km in Melbourne's central business district.  During the fire season, the Country Fire Authority, Department of Sustainability and Environment and Parks Victoria received operational assistance from other states and a significant international contingent:    ACT - 37 personnel  NSW - 1050 personnel  NT - 108 personnel  SA - 10 personnel  Qld - 14 personnel  WA - 20 personnel  Canada - 52 personnel  New Zealand - 115 personnel  USA - 114 personnel    The Victorian and Federal Government provided financial assistance to aid personal, physical and economic recovery from the fire disaster.  The Insurance Council of Australia did not report any cost for this particular fire.",12/1/2006 0:00,2/7/2007 0:00,-36.71800995,147.1452179,,,,,1400,1,,,,,51,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=22,
23,Disaster Event,Hail - Lismore,"On 8 October 2007 a super-cell thunderstorm with large hailstones the size of tennis balls hit Lismore at 1.50 pm causing chaos in the central business district. There was extensive damage to central Lismore as a result of the large hail and strong winds. South Lismore was hit again on 9 October by hail 6 cm in diameter and strong winds estimated at 100 km per hour, which caused widespread damage. Approximately 20 mm rain fell in 10 minutes. Seventeen people were injured by hail or flying glass from smashed windows. Homes and motor vehicles were damaged, trees were uprooted by flash flooding and there were many power outages. Buildings were damaged including City Hall, the police station, ambulance station, hospital and other council buildings as well as small businesses.  There were approximately 300 calls for assistance received by the SES.  The Insurance Council of Australia estimated the 2006 damage at $97 million, with the 2011 estimated normalised cost of $109 million.",10/8/2007 0:00,10/9/2007 0:00,-28.80650711,153.276947,,,,,17,,97000000,,,,,,,,,,,,,,,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=23,
24,Disaster Event,Severe Storm - South-East Queensland and Northern New South Wales,"In early October 2007, severe storms brought about heavy rain and caused widespread damage in south-east Queensland and northern New South Wales.  There was damage to roads, bridges, houses and buildings. The State Emergency Services (SES) provided accommodation, household repairs and replacement assistance.  The Insurance Council of Australia estimated the 2007 damage at $97 million, with the 2011 estimated normalised cost of $109 million.",10/7/2007 0:00,10/12/2007 0:00,-28.80579758,153.2768707,,,,,,,97000000,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=24,
25,Disaster Event,Chemical - Kakadu Uranium Leak,"At approximately 10.30 pm, on 23 March 2004, a hose attachment was made between the process water and the clean water pipe system in the Ranger ore processing facility, near Kakadu National Park. Early the following day, workers showering after the night shift complained of skin irritation and poor quality drinking water. There were also reports of nausea, stomach cramps and vomiting from drinking contaminated water. Energy Resources Australia (ERA) admitted there were at least 28 workers that either drank or showered in water that had 400 times the legal dose of uranium.  Initial testing by ERA indicated that the water had a mild acidic ph of 4.5 and an elevated uranium content of eight parts per million. In response to this incident, ERA decided to close down both the clean water and process water systems, send non-essential staff home and conduct an orderly shutdown of the mine and all processing facilities.  A report by the Department of Environment and Heritage concluded that the primary cause of the contamination of the potable water system at the Ranger mine was that an operator opened a valve connecting the water manifold at the Fine Ore Bin (FOB) Scrubber to a one inch hose. At the time of this connection, the manifold was also connected to the process water system. Unknown to this operator, the other end of the one inch hose was connected to the potable water system and the valve at that end of the hose was open. The higher pressure in the process water system caused water to flow from the process water system into the potable water supply system.",3/23/2004 0:00,3/23/2004 0:00,-12.83351898,131.9443359,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory,,http://www.emknowledge.gov.au/resource/?id=25,
26,Disaster Event,Urban Fire - Adelaide Shopping Centre,"On 22 August 2004 a fire occurred at a shopping centre in&nbsp;Torrens Park, Adelaide. The deliberately lit fire caused in excess of $25 million damage and affected over 50 business owners.  Fire fighting efforts saved the complex from complete destruction; half the complex was saved from the fire and many stores were open for business within a few days. The incident involved 70 firefighters, 13 pumps, two aerial appliances and three specialist vehicles and assistance from the Country Fire Service.",8/22/2004 0:00,8/22/2004 0:00,-34.97860336,138.6230469,,,,,,,25000000,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=26,
27,Disaster Event,Chemical - Melbourne Chemical Spill,"On 29 October 2004, a package dropped in a loading bay at a Tullamarine freight depot released toxic vapours. The solution, containing hydrochloric and formic acid, formed a smoky haze after the spill, and caused the evacuation of 400 workers and injuries to 28 people. Most of the injured sustained respiratory irritation, nausea and vomiting.",10/29/2004 0:00,10/29/2004 0:00,-37.6662941,144.8489075,,,400,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,Victoria,,http://www.emknowledge.gov.au/resource/?id=27,
28,Disaster Event,Hail - Orange,"On 21 January 1986 a severe hailstorm caused extensive damage to homes, farms and crops in the Orange area of the Central Tablelands. Hail of up to 7 cm in diameter was reported and over 100 motor vehicles were damaged. The Insurance Council of Australia estimated the 1986 damage at $25 million, with the 2011 estimated normalised cost of $160 million.",1/21/1986 0:00,1/21/1986 0:00,-33.28357697,149.1012726,,,,,,,25000000,,,,,,,,,,,,,,100,,,,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=28,
29,Disaster Event,Cyclone Justin,"Two lows merged in a very active monsoon trough in the Coral Sea and developed into Tropical Cyclone Justin on 7 March. Tropical Cyclone Justin sat in the Coral Sea for three days, causing high winds and huge swells and maximum intensity was recorded on 9 March. It was downgraded to a tropical low on 13 March. The cyclone then drifted north and re-intensified to tropical cyclone strength on 14 March, reaching peak intensity on 18 March before weakening and crossing the coast north-west of Cairns on 22 March.  The combined effects of heavy rain, large seas and gale to storm force winds caused widespread damage in the region between Cairns and Townsville and the loss of two lives (one person by a landslide at Paluma near Townsville, and one person electrocuted by a fallen power line at Innisfail 70 km south south-east of Cairns).  Earlier in Justin's life cycle 30 people were killed in Papua New Guinea and five people died when their yacht was destroyed. Justin&nbsp;was reportedly responsible for an estimated loss of $150 million to the agricultural industry alone.",3/6/1997 0:00,3/24/1997 0:00,-19.39195442,155.8560638,,,,,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland,,http://www.emknowledge.gov.au/resource/?id=29,
30,Disaster Event,Transport - Sydney Harbour Ferry Collision,"On 3 November 1927 the Greycliffe, a wooden screw steamer ferry, sank quickly when it was hit and cut in two by the liner Tahiti off Bradley's Head, Sydney Harbour.  A few passengers were able to jump to safety but the ferry sank in a matter of seconds. Rescue craft were deployed and saved some people, however the 7000 ton liner swept unchecked through the wreckage drowning more and injuring others. It is estimated more than 40 died but the exact number is unknown.",11/3/1927 0:00,11/3/1927 0:00,-33.85607147,151.2440948,,,,,,40,,,,,,,,,,,,,,,,,1,1,,,,,,,,New South Wales,,http://www.emknowledge.gov.au/resource/?id=30,
